ts_start,ts_end,price
2023-10-07 00:00:00,2023-10-07 01:00:00,-0.000690
2023-10-06 23:00:00,2023-10-07 00:00:00,0.001340
2023-10-06 22:00:00,2023-10-06 23:00:00,0.007180
2023-10-06 21:00:00,2023-10-06 22:00:00,0.093490
2023-10-06 20:00:00,2023-10-06 21:00:00,0.200090
2023-10-06 19:00:00,2023-10-06 20:00:00,0.140090
2023-10-06 18:00:00,2023-10-06 19:00:00,0.104000
2023-10-06 17:00:00,2023-10-06 18:00:00,0.101960
2023-10-06 16:00:00,2023-10-06 17:00:00,0.093460
2023-10-06 15:00:00,2023-10-06 16:00:00,0.090230
2023-10-06 14:00:00,2023-10-06 15:00:00,0.088630
2023-10-06 13:00:00,2023-10-06 14:00:00,0.090180
2023-10-06 12:00:00,2023-10-06 13:00:00,0.081280
2023-10-06 11:00:00,2023-10-06 12:00:00,0.088690
2023-10-06 10:00:00,2023-10-06 11:00:00,0.104390
2023-10-06 09:00:00,2023-10-06 10:00:00,0.122880
2023-10-06 08:00:00,2023-10-06 09:00:00,0.190850
2023-10-06 07:00:00,2023-10-06 08:00:00,0.150030
2023-10-06 06:00:00,2023-10-06 07:00:00,0.104520
2023-10-06 05:00:00,2023-10-06 06:00:00,0.092910
2023-10-06 04:00:00,2023-10-06 05:00:00,0.075060
2023-10-06 03:00:00,2023-10-06 04:00:00,0.039600
2023-10-06 02:00:00,2023-10-06 03:00:00,0.002520
2023-10-06 01:00:00,2023-10-06 02:00:00,0.002820
2023-10-06 00:00:00,2023-10-06 01:00:00,0.002980
2023-10-05 23:00:00,2023-10-06 00:00:00,0.040010
2023-10-05 22:00:00,2023-10-05 23:00:00,0.085050
2023-10-05 21:00:00,2023-10-05 22:00:00,0.085030
2023-10-05 20:00:00,2023-10-05 21:00:00,0.180060
2023-10-05 19:00:00,2023-10-05 20:00:00,0.177440
2023-10-05 18:00:00,2023-10-05 19:00:00,0.100100
2023-10-05 17:00:00,2023-10-05 18:00:00,0.098450
2023-10-05 16:00:00,2023-10-05 17:00:00,0.083690
2023-10-05 15:00:00,2023-10-05 16:00:00,0.080030
2023-10-05 14:00:00,2023-10-05 15:00:00,0.076010
2023-10-05 13:00:00,2023-10-05 14:00:00,0.074990
2023-10-05 12:00:00,2023-10-05 13:00:00,0.079350
2023-10-05 11:00:00,2023-10-05 12:00:00,0.087330
2023-10-05 10:00:00,2023-10-05 11:00:00,0.107110
2023-10-05 09:00:00,2023-10-05 10:00:00,0.104800
2023-10-05 08:00:00,2023-10-05 09:00:00,0.097140
2023-10-05 07:00:00,2023-10-05 08:00:00,0.098670
2023-10-05 06:00:00,2023-10-05 07:00:00,0.075720
2023-10-05 05:00:00,2023-10-05 06:00:00,0.060870
2023-10-05 04:00:00,2023-10-05 05:00:00,0.007860
2023-10-05 03:00:00,2023-10-05 04:00:00,0.000590
2023-10-05 02:00:00,2023-10-05 03:00:00,0.000000
2023-10-05 01:00:00,2023-10-05 02:00:00,0.000000
2023-10-05 00:00:00,2023-10-05 01:00:00,0.000000
2023-10-04 23:00:00,2023-10-05 00:00:00,0.040000
2023-10-04 22:00:00,2023-10-04 23:00:00,0.088530
2023-10-04 21:00:00,2023-10-04 22:00:00,0.118040
2023-10-04 20:00:00,2023-10-04 21:00:00,0.144460
2023-10-04 19:00:00,2023-10-04 20:00:00,0.132310
2023-10-04 18:00:00,2023-10-04 19:00:00,0.100120
2023-10-04 17:00:00,2023-10-04 18:00:00,0.085440
2023-10-04 16:00:00,2023-10-04 17:00:00,0.057520
2023-10-04 15:00:00,2023-10-04 16:00:00,0.029140
2023-10-04 14:00:00,2023-10-04 15:00:00,0.020550
